date,category,amount
2024-01-03,FOOD,250.0
2024-01-05,TRANSPORT,80.0
2024-01-08,FOOD,400.0
2024-01-10,SHOPPING,1200.0
2024-01-15,FOOD,300.0
2024-01-18,ENTERTAINMENT,500.0
2024-01-20,TRANSPORT,612.8846153846154
2024-01-25,FOOD,450.0
2024-01-28,BILLS,2000.0
2024-02-02,FOOD,280.0
2024-02-05,TRANSPORT,90.0
2024-02-08,SHOPPING,800.0
2024-02-10,FOOD,350.0
2024-02-14,ENTERTAINMENT,600.0
2024-02-18,TRANSPORT,70.0
2024-02-20,FOOD,612.8846153846154
2024-02-22,BILLS,2000.0
2024-02-26,SHOPPING,950.0
2024-03-01,FOOD,300.0
2024-03-07,FOOD,380.0
2024-03-10,ENTERTAINMENT,400.0
2024-03-13,SHOPPING,1100.0
2024-03-16,FOOD,260.0
2024-03-19,TRANSPORT,75.0
2024-03-22,BILLS,2000.0
2024-03-25,FOOD,500.0
2024-03-28,ENTERTAINMENT,300.0
